# Algerian Darija markers written in Arabic script.
#
# Format:  term <TAB> weight <TAB> gloss
# weight:  strong = distinctly Darija, one occurrence is enough to call it
#          weak   = used in Darija but also in MSA or other dialects, needs corroboration
#
# NEEDS NATIVE-SPEAKER REVIEW. Nothing here has been checked by a native Algerian speaker.
# Blocker B7 in the plan. The list is machine-assembled to get detection working and to give a
# reviewer something to correct rather than a blank file — correcting a wrong weight is far less
# work than recalling 500 words unprompted.
#
# How to review it: the sections below are ordered roughly by confidence. Copula, pronouns and
# question words are the safest; the French-borrowing and food sections are the most Algerian and
# also the easiest to get subtly wrong. Anything you disagree with is more likely to be wrong than
# right — delete freely.
# Two specific risks a reviewer should look for:
#   - Moroccan/Tunisian terms wrongly included as Algerian
#   - terms marked strong that are actually common in MSA news copy
#
# Terms are normalised on load, so writing them with or without harakat makes no difference.

# --- copula / pronouns: the strongest single signal ------------------------------------
راني	strong	I am
راك	strong	you are (m)
راكي	strong	you are (f)
راهو	strong	he is
راهي	strong	she is
رانا	strong	we are
راكم	strong	you are (pl)
راهم	strong	they are
رانى	strong	I am (variant)
واني	weak	and I am

# --- interrogatives ---------------------------------------------------------------------
واش	strong	what
وشنو	strong	what (variant)
اشنو	strong	what (variant)
كيفاش	strong	how
كيفاه	strong	how (variant)
وين	strong	where
فين	weak	where (variant, also Moroccan)
علاش	strong	why
واعلاه	strong	why (variant)
لاش	weak	why (short)
شحال	strong	how much
بشحال	strong	for how much
شكون	strong	who
اشكون	strong	who (variant)
وقتاش	strong	when
وينتا	strong	when (variant)
امتى	weak	when

# --- quantity / degree -------------------------------------------------------------------
بزاف	strong	a lot
بزف	strong	a lot (variant)
شوية	strong	a little
شويا	strong	a little (variant)
قاع	strong	all / at all
گاع	strong	all (with gaf)
ياسر	weak	a lot (more western Algeria)
برك	strong	only / just
غير	weak	just / only
حتى	weak	even / until

# --- possession / relation ----------------------------------------------------------------
نتاع	strong	of / belonging to
تاع	strong	of (short)
ديال	weak	of (more Moroccan, appears in west)
متاع	weak	of (more Tunisian)

# --- existence ----------------------------------------------------------------------------
كاين	strong	there is
كاينة	strong	there is (f)
كاينين	strong	there are
ماكاش	strong	there isn't
مكاش	strong	there isn't (variant)
مافماش	weak	there isn't (variant)
والو	strong	nothing
حتاجة	weak	nothing at all

# --- negation ------------------------------------------------------------------------------
ماشي	strong	not
مانيش	strong	I am not
ماكش	strong	you are not
ماهوش	strong	he is not
ماراهش	strong	he is not (variant)
مازال	weak	still / not yet
مابقاش	weak	no longer

# --- time / place ---------------------------------------------------------------------------
دروك	strong	now
ضروك	strong	now (variant)
دابا	weak	now (Moroccan, sometimes heard)
تما	strong	there
لهيه	strong	over there
هنا	weak	here
البارح	strong	yesterday
